brand_username,brand_bio,brand_category,email,influencer_username,influencer_category,engagement_rate_scaled,pagerank,bot_score,sponsored_posts_scaled,category_relevance_score,sentiment_score,brand_match_score_scaled,name
2jewelsofficial,,Personal Goods & General Merchandise Stores,info@2jewels.it,57kazqz6uyiq2p2,unknown,0.089773968,3.29E-05,0.775001027,0,0,86.54,0.857129785,2JewelsOfficial
2jewelsofficial,,Personal Goods & General Merchandise Stores,info@2jewels.it,amandacotting,Personal Goods & General Merchandise Stores,0.118967791,3.88E-05,0.657218889,0.031674208,0.431947464,81.17,0.810033151,2JewelsOfficial
2jewelsofficial,,Personal Goods & General Merchandise Stores,info@2jewels.it,audreyhirschl,Personal Goods & General Merchandise Stores,0.170050158,1.55E-05,0.657852097,0.031674208,0.487885023,80.89,0.808656602,2JewelsOfficial
2jewelsofficial,,Personal Goods & General Merchandise Stores,info@2jewels.it,feastfashionfaves,Personal Goods & General Merchandise Stores,0.023883839,2.73E-05,0.64842532,0,0.536007731,54,0.540796366,2JewelsOfficial
2jewelsofficial,,Personal Goods & General Merchandise Stores,info@2jewels.it,la_ninchen,Personal Goods & General Merchandise Stores,0.125671352,5.63E-06,0.737720197,0.031674208,0.38893756,52.27,0.523762148,2JewelsOfficial
2jewelsofficial,,Personal Goods & General Merchandise Stores,info@2jewels.it,millennialmomsofficial,Personal Goods & General Merchandise Stores,0.041286266,2.31E-05,0.587165763,0,0.302792777,52.27,0.522096741,2JewelsOfficial
2jewelsofficial,,Personal Goods & General Merchandise Stores,info@2jewels.it,kellierasberry,Personal Goods & General Merchandise Stores,0.101825878,3.54E-05,0.583109267,0.004524887,0.682729907,51.48,0.519129795,2JewelsOfficial
2jewelsofficial,,Personal Goods & General Merchandise Stores,info@2jewels.it,dancingbackwardsinheels,Personal Goods & General Merchandise Stores,0.146489809,1.34E-05,0.773846932,0,0.368806363,51.11,0.511794596,2JewelsOfficial
2jewelsofficial,,Personal Goods & General Merchandise Stores,info@2jewels.it,everafterpress,Personal Goods & General Merchandise Stores,0.034896665,2.71E-05,0.662082361,0.004524887,0.42876893,51.1,0.511246807,2JewelsOfficial
2jewelsofficial,,Personal Goods & General Merchandise Stores,info@2jewels.it,littledairyontheprairie,Personal Goods & General Merchandise Stores,0.182748724,5.18E-05,0.72456048,0.085972851,0.714454934,50.37,0.509953838,2JewelsOfficial
54artistry,An online community that promotes and connects creatives with clients looking to get their work done. #54artistry 👫 Click 👇 to Learn More,Non-Profits & Religious Organizations,support@54artistry.com,amicidichicco,Non-Profits & Religious Organizations,0.188963812,5.30E-05,0.525978055,0,0.293500094,84.38,0.841968214,Creative Community👥📷👗💇🎨🎦💻✂️
54artistry,An online community that promotes and connects creatives with clients looking to get their work done. #54artistry 👫 Click 👇 to Learn More,Non-Profits & Religious Organizations,support@54artistry.com,blackbabybooks,Non-Profits & Religious Organizations,0.212881169,5.79E-05,0.543487447,0,0.164547673,83.16,0.828923979,Creative Community👥📷👗💇🎨🎦💻✂️
54artistry,An online community that promotes and connects creatives with clients looking to get their work done. #54artistry 👫 Click 👇 to Learn More,Non-Profits & Religious Organizations,support@54artistry.com,chicagofooddork,Non-Profits & Religious Organizations,0.114443326,3.79E-05,0.54408786,0.013574661,0.268661631,76.9,0.766680583,Creative Community👥📷👗💇🎨🎦💻✂️
54artistry,An online community that promotes and connects creatives with clients looking to get their work done. #54artistry 👫 Click 👇 to Learn More,Non-Profits & Religious Organizations,support@54artistry.com,addicted_to_bargains,Non-Profits & Religious Organizations,0.086027016,0.00016071,0.625682581,0.009049774,0.24253064,76.65,0.762890466,Creative Community👥📷👗💇🎨🎦💻✂️
54artistry,An online community that promotes and connects creatives with clients looking to get their work done. #54artistry 👫 Click 👇 to Learn More,Non-Profits & Religious Organizations,support@54artistry.com,maonamassa2,Non-Profits & Religious Organizations,0.148510354,4.48E-05,0.659065933,0.004524887,0.203786395,53.12,0.53086524,Creative Community👥📷👗💇🎨🎦💻✂️
54artistry,An online community that promotes and connects creatives with clients looking to get their work done. #54artistry 👫 Click 👇 to Learn More,Non-Profits & Religious Organizations,support@54artistry.com,ohhonestly,Non-Profits & Religious Organizations,0.154619918,4.61E-05,0.740943687,0.045248869,0.280460982,51.89,0.519572365,Creative Community👥📷👗💇🎨🎦💻✂️
54artistry,An online community that promotes and connects creatives with clients looking to get their work done. #54artistry 👫 Click 👇 to Learn More,Non-Profits & Religious Organizations,support@54artistry.com,globalpathfinders,Non-Profits & Religious Organizations,0.185261931,5.23E-05,0.771329675,0.009049774,0.355321596,51.56,0.516880235,Creative Community👥📷👗💇🎨🎦💻✂️
54artistry,An online community that promotes and connects creatives with clients looking to get their work done. #54artistry 👫 Click 👇 to Learn More,Non-Profits & Religious Organizations,support@54artistry.com,dollysimonetti,Creators & Celebrities,0.111947379,3.74E-05,0.497371236,0.009049774,0,51.68,0.515152929,Creative Community👥📷👗💇🎨🎦💻✂️
54artistry,An online community that promotes and connects creatives with clients looking to get their work done. #54artistry 👫 Click 👇 to Learn More,Non-Profits & Religious Organizations,support@54artistry.com,ezpzmealz,Non-Profits & Religious Organizations,0.101454896,6.41E-05,0.54038208,0.117647059,0.309493514,51.07,0.513159531,Creative Community👥📷👗💇🎨🎦💻✂️
54artistry,An online community that promotes and connects creatives with clients looking to get their work done. #54artistry 👫 Click 👇 to Learn More,Non-Profits & Religious Organizations,support@54artistry.com,greatlakeslocals,Non-Profits & Religious Organizations,0.196461456,5.46E-05,0.794887922,0.004524887,0.182951129,51.26,0.512184628,Creative Community👥📷👗💇🎨🎦💻✂️
7slayz,For the girl who knows she has 7 days to slay 💕💕#7slayz #fashion #boutique #slay #clothingbrand,Personal Goods & General Merchandise Stores,7slayzstylez@gmail.com,981chfi,Publishers,0.285183252,1.28E-05,0.398018706,0,0,78.64,0.784805152,7Slayz
7slayz,For the girl who knows she has 7 days to slay 💕💕#7slayz #fashion #boutique #slay #clothingbrand,Personal Goods & General Merchandise Stores,7slayzstylez@gmail.com,audreyrotermund,Creators & Celebrities,0.116208728,3.83E-05,0.544187397,0,0,51.32,0.511240185,7Slayz
7slayz,For the girl who knows she has 7 days to slay 💕💕#7slayz #fashion #boutique #slay #clothingbrand,Personal Goods & General Merchandise Stores,7slayzstylez@gmail.com,geraldine_kemper,Creators & Celebrities,0.149962643,4.51E-05,0.577774361,0.013574661,0,50.98,0.508395542,7Slayz
7slayz,For the girl who knows she has 7 days to slay 💕💕#7slayz #fashion #boutique #slay #clothingbrand,Personal Goods & General Merchandise Stores,7slayzstylez@gmail.com,janinakoskenniska,unknown,0.264867546,6.84E-05,0.505836299,0.031674208,0.030121434,50,0.501617928,7Slayz
7slayz,For the girl who knows she has 7 days to slay 💕💕#7slayz #fashion #boutique #slay #clothingbrand,Personal Goods & General Merchandise Stores,7slayzstylez@gmail.com,modernlatina,Personal Goods & General Merchandise Stores,0.150188252,4.52E-05,0.722751237,0.009049774,0.139269443,46.67,0.466193577,7Slayz
7slayz,For the girl who knows she has 7 days to slay 💕💕#7slayz #fashion #boutique #slay #clothingbrand,Personal Goods & General Merchandise Stores,7slayzstylez@gmail.com,jon_sanders_ink,unknown,0.076108536,3.41E-06,0.668889736,0,0,0,0.002905057,7Slayz
_makeupbygoddess,🇭🇹💎Beauty & Fashion💎🇭🇹 📍Miami & Delray beach📍 📬Business inquires makeupwithgoddess@gmail.com Click the book bubble to set a appointment 👇🏾  💎Goddess💎,Lifestyle Services,makeupwithgoddesss@gmail.com,bymorgantyler,Lifestyle Services,0.175698745,7.87E-06,0.586123841,0.2760181,0.090422947,85.45,0.853550006,DEE🌸THE🌸MUA
_makeupbygoddess,🇭🇹💎Beauty & Fashion💎🇭🇹 📍Miami & Delray beach📍 📬Business inquires makeupwithgoddess@gmail.com Click the book bubble to set a appointment 👇🏾  💎Goddess💎,Lifestyle Services,makeupwithgoddesss@gmail.com,aboutfacephilly,Lifestyle Services,0.10356241,4.64E-06,0.608849831,0.004524887,0.043558604,82.81,0.822101409,DEE🌸THE🌸MUA
_makeupbygoddess,🇭🇹💎Beauty & Fashion💎🇭🇹 📍Miami & Delray beach📍 📬Business inquires makeupwithgoddess@gmail.com Click the book bubble to set a appointment 👇🏾  💎Goddess💎,Lifestyle Services,makeupwithgoddesss@gmail.com,beautybyheatherann,Lifestyle Services,0.285211826,7.26E-05,0.615495579,0.018099548,0.104936769,78.92,0.787414601,DEE🌸THE🌸MUA
_makeupbygoddess,🇭🇹💎Beauty & Fashion💎🇭🇹 📍Miami & Delray beach📍 📬Business inquires makeupwithgoddess@gmail.com Click the book bubble to set a appointment 👇🏾  💎Goddess💎,Lifestyle Services,makeupwithgoddesss@gmail.com,bobismakeup,Lifestyle Services,0.191052325,5.35E-05,0.535130033,0.004524887,0.149565638,75.87,0.756532766,DEE🌸THE🌸MUA
_makeupbygoddess,🇭🇹💎Beauty & Fashion💎🇭🇹 📍Miami & Delray beach📍 📬Business inquires makeupwithgoddess@gmail.com Click the book bubble to set a appointment 👇🏾  💎Goddess💎,Lifestyle Services,makeupwithgoddesss@gmail.com,aloette_hollywood,Lifestyle Services,0.06272094,1.24E-05,0.648185395,0.009049774,0.074559189,75,0.744401822,DEE🌸THE🌸MUA
_makeupbygoddess,🇭🇹💎Beauty & Fashion💎🇭🇹 📍Miami & Delray beach📍 📬Business inquires makeupwithgoddess@gmail.com Click the book bubble to set a appointment 👇🏾  💎Goddess💎,Lifestyle Services,makeupwithgoddesss@gmail.com,andrejavit,Lifestyle Services,0.095976284,3.42E-05,0.675193103,0,0.108905791,55,0.547465027,DEE🌸THE🌸MUA
_makeupbygoddess,🇭🇹💎Beauty & Fashion💎🇭🇹 📍Miami & Delray beach📍 📬Business inquires makeupwithgoddess@gmail.com Click the book bubble to set a appointment 👇🏾  💎Goddess💎,Lifestyle Services,makeupwithgoddesss@gmail.com,directhbs,Lifestyle Services,0.035515153,1.31E-05,0.794904176,0.004524887,0.117886292,52.94,0.52548435,DEE🌸THE🌸MUA
_makeupbygoddess,🇭🇹💎Beauty & Fashion💎🇭🇹 📍Miami & Delray beach📍 📬Business inquires makeupwithgoddess@gmail.com Click the book bubble to set a appointment 👇🏾  💎Goddess💎,Lifestyle Services,makeupwithgoddesss@gmail.com,lvmontgomery,Lifestyle Services,0.139092588,6.23E-06,0.556572526,0.009049774,0.08219219,51.38,0.513058406,DEE🌸THE🌸MUA
_makeupbygoddess,🇭🇹💎Beauty & Fashion💎🇭🇹 📍Miami & Delray beach📍 📬Business inquires makeupwithgoddess@gmail.com Click the book bubble to set a appointment 👇🏾  💎Goddess💎,Lifestyle Services,makeupwithgoddesss@gmail.com,captureyesstudio,Lifestyle Services,0.101141044,7.01E-06,0.641919215,0.009049774,0.073977124,51.5,0.512975797,DEE🌸THE🌸MUA
_makeupbygoddess,🇭🇹💎Beauty & Fashion💎🇭🇹 📍Miami & Delray beach📍 📬Business inquires makeupwithgoddess@gmail.com Click the book bubble to set a appointment 👇🏾  💎Goddess💎,Lifestyle Services,makeupwithgoddesss@gmail.com,debbs_bjuku,Lifestyle Services,0.116352177,5.30E-05,0.604499965,0.004524887,0.119113615,50.82,0.507143452,DEE🌸THE🌸MUA
_me_selina_,24 | student 📍Ravensburg/Überlingen 🌍 get a dose of real life in my story🐾 shop my looks 👇🏼,Creators & Celebrities,me_selina@allimpact.net,cinnamonstyle,Creators & Celebrities,0.197293726,5.47E-05,0.479866589,0.009049774,0.041970332,50.14,0.501878217,Selina
_me_selina_,24 | student 📍Ravensburg/Überlingen 🌍 get a dose of real life in my story🐾 shop my looks 👇🏼,Creators & Celebrities,me_selina@allimpact.net,becca_trujillo,Creators & Celebrities,0.126032212,4.03E-05,0.5802749,0.022624434,0.045327011,50.26,0.501440981,Selina
_me_selina_,24 | student 📍Ravensburg/Überlingen 🌍 get a dose of real life in my story🐾 shop my looks 👇🏼,Creators & Celebrities,me_selina@allimpact.net,sharonwarten,Home Services,0.133728155,5.99E-06,0.729596761,0.013574661,0,50.19,0.49932586,Selina
_me_selina_,24 | student 📍Ravensburg/Überlingen 🌍 get a dose of real life in my story🐾 shop my looks 👇🏼,Creators & Celebrities,me_selina@allimpact.net,euingridroberta,Creators & Celebrities,0.148393742,4.48E-05,0.600663986,0.018099548,0.16046829,49.66,0.496826664,Selina
_me_selina_,24 | student 📍Ravensburg/Überlingen 🌍 get a dose of real life in my story🐾 shop my looks 👇🏼,Creators & Celebrities,me_selina@allimpact.net,elitizadosdows_,Creators & Celebrities,0.027402135,2.03E-05,0.84878524,0,0.0376674,50,0.495107854,Selina
_me_selina_,24 | student 📍Ravensburg/Überlingen 🌍 get a dose of real life in my story🐾 shop my looks 👇🏼,Creators & Celebrities,me_selina@allimpact.net,fredbaierjr,unknown,0.164189005,4.80E-05,0.571908917,0,0,48.75,0.486465389,Selina
_millo_,info@millo.biz,Creators & Celebrities,info@millo.biz,camillasantanas,Creators & Celebrities,0.146822825,4.45E-05,0.564231866,0.049773756,0.085246875,79.25,0.78895563,Millo
_millo_,info@millo.biz,Creators & Celebrities,info@millo.biz,estellevandenelst,Creators & Celebrities,0.329441314,8.15E-05,0.61976083,0.004524887,0.067803411,53.1,0.532562201,Millo
_millo_,info@millo.biz,Creators & Celebrities,info@millo.biz,charliebrake1,Creators & Celebrities,0.112624833,3.76E-05,0.601465679,0.031674208,0.085388266,51.45,0.513348396,Millo
_millo_,info@millo.biz,Creators & Celebrities,info@millo.biz,erika_hoval,Creators & Celebrities,0.136656023,4.24E-05,0.629454879,0,0.1527773,51.35,0.512820563,Millo
_millo_,info@millo.biz,Creators & Celebrities,info@millo.biz,nyc_blonde,Creators & Celebrities,0.17371763,5.00E-05,0.613581896,0,0.08892191,51.33,0.512707044,Millo
_millo_,info@millo.biz,Creators & Celebrities,info@millo.biz,nursejakeluis,Creators & Celebrities,0.124845271,1.41E-05,0.631553552,0.013574661,0.045982486,51.18,0.510056999,Millo
